plot_symbol,earnings_asset,news_id,timestamp_iso,exchange_tick,old_eps,new_eps,model_fair_value_jump,market_mid_before_news,spread_before_news,market_mid_after_100ms,spread_after_100ms,market_mid_after_250ms,spread_after_250ms,market_mid_after_500ms,spread_after_500ms,market_mid_after_1s,spread_after_1s,market_mid_after_2s,spread_after_2s,market_mid_after_5s,spread_after_5s,max_excursion_from_pre_news_mid,final_settling_move_5s
A,A,market_research_2026-04-04_21-53-21_live_round-news-1,2026-04-05T02:53:29.633790+00:00,300,,1.05516484828479,,1304.0,6.0,1304.0,6.0,1303.0,6.0,1303.0,6.0,1297.0,6.0,1285.0,6.0,1265.0,6.0,-39.0,-39.0
A,A,market_research_2026-04-04_21-53-21_live_round-news-2,2026-04-05T02:54:30.611445+00:00,600,1.05516484828479,1.056774042770555,0.01609194485764931,1212.0,6.0,1212.0,6.0,1210.0,6.0,1210.0,6.0,1211.0,4.0,1214.0,6.0,1216.0,4.0,4.0,4.0
A,A,market_research_2026-04-04_21-53-21_live_round-news-4,2026-04-05T02:55:07.688261+00:00,750,1.056774042770555,0.969343952194596,-0.8743009057595899,1223.0,6.0,1223.0,6.0,1220.0,6.0,1218.5,3.0,1215.0,6.0,1206.0,4.0,1198.0,4.0,-25.0,-25.0
A,A,market_research_2026-04-04_21-53-21_live_round-news-5,2026-04-05T02:56:56.080083+00:00,1050,0.969343952194596,1.1637403844963423,1.9439643230174646,1131.0,6.0,1131.5,5.0,1131.5,5.0,1133.5,3.0,1136.0,4.0,1144.0,-2.0,1164.0,0.0,33.0,33.0
A,A,market_research_2026-04-04_21-53-21_live_round-news-7,2026-04-05T02:58:11.142705+00:00,1200,1.1637403844963423,1.044604063150129,-1.1913632134621341,1324.0,6.0,1324.0,6.0,1324.0,6.0,1325.5,3.0,1327.0,6.0,1327.0,4.0,1329.5,5.0,5.5,5.5
A,A,market_research_2026-04-04_21-53-21_live_round-news-8,2026-04-05T03:01:30.636712+00:00,1500,1.044604063150129,0.7920303425873274,-2.5257372056280163,1191.0,6.0,1191.5,5.0,1191.5,5.0,1191.5,5.0,1192.0,6.0,1186.0,2.0,1172.0,6.0,-19.0,-19.0
A,A,market_research_2026-04-04_21-53-21_live_round-news-10,2026-04-05T03:03:31.891498+00:00,1650,0.7920303425873274,0.9665083661136648,1.7447802352633746,955.0,6.0,955.0,6.0,955.0,6.0,953.0,2.0,953.5,1.0,958.0,-2.0,969.5,1.0,14.5,14.5
A,A,market_research_2026-04-04_21-53-21_live_round-news-11,2026-04-05T03:07:27.514714+00:00,1950,0.9665083661136648,1.0442082126875445,0.7769984657387958,1115.0,4.0,1115.0,4.0,1115.0,4.0,1115.0,4.0,1117.5,3.0,1120.0,4.0,1125.0,4.0,10.0,10.0
A,A,market_research_2026-04-04_21-53-21_live_round-news-13,2026-04-05T03:09:16.049283+00:00,2100,1.0442082126875445,0.9376521643367762,-1.0655604835076797,1199.0,6.0,1199.0,6.0,1199.0,6.0,1199.0,6.0,1199.0,6.0,1204.0,0.0,,,5.0,
C,C,market_research_2026-04-04_21-53-21_live_round-news-3,2026-04-05T02:54:30.616384+00:00,600,,2.0323766743214744,,973.0,6.0,968.0,0.0,967.5,1.0,964.0,8.0,964.0,6.0,961.0,6.0,961.0,6.0,-12.0,-12.0
