news_id,session_id,run_id,wall_time_iso,wall_time_ns,monotonic_ns,exchange_tick,round,day,kind,symbol,structured_subtype,earnings_asset,earnings_value,affected_symbols_json,raw_content,normalized_content,parsed_sentiment,parsed_signal_strength,previous_known_eps_for_asset,new_known_eps_for_asset,inferred_fair_price_before,inferred_fair_price_after,note
market_research_2026-04-04_21-53-21_live_round-news-1,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:53:29.633790+00:00,1775357609633790000,173319961487125,300,,,structured,A,earnings,A,1.05516484828479,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.05516484828479}",,,,1.05516484828479,,10.551648482847899,Structured earnings for A.
market_research_2026-04-04_21-53-21_live_round-news-2,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:54:30.611445+00:00,1775357670611445000,173380939260500,600,,,structured,A,earnings,A,1.056774042770555,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.056774042770555}",,,1.05516484828479,1.056774042770555,10.551648482847899,10.56774042770555,Structured earnings for A.
market_research_2026-04-04_21-53-21_live_round-news-3,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:54:30.616384+00:00,1775357670616384000,173380944200375,600,,,structured,C,earnings,C,2.0323766743214744,"[""C"",""ETF""]",,"{""asset"":""C"",""structured_subtype"":""earnings"",""value"":2.0323766743214744}",,,,2.0323766743214744,,,Structured earnings for C.
market_research_2026-04-04_21-53-21_live_round-news-4,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:55:07.688261+00:00,1775357707688261000,173418016149291,750,,,structured,A,earnings,A,0.969343952194596,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.969343952194596}",,,1.056774042770555,0.969343952194596,10.56774042770555,9.69343952194596,Structured earnings for A.
market_research_2026-04-04_21-53-21_live_round-news-5,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:56:56.080083+00:00,1775357816080083000,173526408183500,1050,,,structured,A,earnings,A,1.1637403844963423,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.1637403844963423}",,,0.969343952194596,1.1637403844963423,9.69343952194596,11.637403844963423,Structured earnings for A.
market_research_2026-04-04_21-53-21_live_round-news-6,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:56:56.097937+00:00,1775357816097937000,173526426037375,1050,,,structured,C,earnings,C,2.055415039913151,"[""C"",""ETF""]",,"{""asset"":""C"",""structured_subtype"":""earnings"",""value"":2.055415039913151}",,,2.0323766743214744,2.055415039913151,,,Structured earnings for C.
market_research_2026-04-04_21-53-21_live_round-news-7,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T02:58:11.142705+00:00,1775357891142705000,173601470952041,1200,,,structured,A,earnings,A,1.044604063150129,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.044604063150129}",,,1.1637403844963423,1.044604063150129,11.637403844963423,10.44604063150129,Structured earnings for A.
market_research_2026-04-04_21-53-21_live_round-news-8,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T03:01:30.636712+00:00,1775358090636712000,173800965348125,1500,,,structured,A,earnings,A,0.7920303425873274,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.7920303425873274}",,,1.044604063150129,0.7920303425873274,10.44604063150129,7.920303425873274,Structured earnings for A.
market_research_2026-04-04_21-53-21_live_round-news-9,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T03:01:30.663539+00:00,1775358090663539000,173800992175375,1500,,,structured,C,earnings,C,2.0959920474171785,"[""C"",""ETF""]",,"{""asset"":""C"",""structured_subtype"":""earnings"",""value"":2.0959920474171785}",,,2.055415039913151,2.0959920474171785,,,Structured earnings for C.
market_research_2026-04-04_21-53-21_live_round-news-10,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T03:03:31.891498+00:00,1775358211891498000,173922220371125,1650,,,structured,A,earnings,A,0.9665083661136648,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.9665083661136648}",,,0.7920303425873274,0.9665083661136648,7.920303425873274,9.665083661136647,Structured earnings for A.
market_research_2026-04-04_21-53-21_live_round-news-11,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T03:07:27.514714+00:00,1775358447514714000,174157844046666,1950,,,structured,A,earnings,A,1.0442082126875445,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.0442082126875445}",,,0.9665083661136648,1.0442082126875445,9.665083661136647,10.442082126875444,Structured earnings for A.
market_research_2026-04-04_21-53-21_live_round-news-12,market_research_2026-04-04_21-53-21_live_round,eccd17e8272a479993104cbad31db746,2026-04-05T03:07:27.550692+00:00,1775358447550692000,174157880024958,1950,,,structured,C,earnings,C,2.13407379534728,"[""C"",""ETF""]",,"{""asset"":""C"",""structured_subtype"":""earnings"",""value"":2.13407379534728}",,,2.0959920474171785,2.13407379534728,,,Structured earnings for C.
