event_index,session_id,run_id,wall_time_iso,wall_time_ns,monotonic_ns,exchange_tick,round,day,symbol,trade_px,trade_qty,mid_at_trade,spread_at_trade,time_since_last_A_news,latest_known_eps_for_A
376,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:55:29.001385+00:00,1775350529001385000,166239311028916,1500,,,A,1173,40,1174.5,-3.0,0.544166,1.119238731304944
377,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:55:29.001553+00:00,1775350529001553000,166239311196750,1500,,,A,1174,60,1174.5,-3.0,0.544333834,1.119238731304944
378,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:55:29.001671+00:00,1775350529001671000,166239311315083,1500,,,A,1175,80,1174.5,-3.0,0.544452167,1.119238731304944
379,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:55:29.001801+00:00,1775350529001801000,166239311445375,1500,,,A,1176,20,1174.5,-3.0,0.544582459,1.119238731304944
821,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:55:34.432740+00:00,1775350534432740000,166244742397000,1525,,,A,1177,40,1176.5,-1.0,5.975534084,1.119238731304944
822,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:55:34.433153+00:00,1775350534433153000,166244742810708,1525,,,A,1176,60,1176.5,-1.0,5.975947792,1.119238731304944
1345,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:55:41.053734+00:00,1775350541053734000,166251363407750,1525,,,A,1161,40,1160.5,-1.0,12.596544834,1.119238731304944
1539,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:55:43.278622+00:00,1775350543278622000,166253588301666,1525,,,A,1157,40,1154.0,-6.0,14.82143875,1.119238731304944
1540,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:55:43.278808+00:00,1775350543278808000,166253588487541,1525,,,A,1156,60,1154.0,-6.0,14.821624625,1.119238731304944
1541,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:55:43.278962+00:00,1775350543278962000,166253588641250,1525,,,A,1155,80,1154.0,-6.0,14.821778334,1.119238731304944
1542,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:55:43.279097+00:00,1775350543279097000,166253588776500,1525,,,A,1154,20,1154.0,-6.0,14.821913584,1.119238731304944
1612,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:55:44.223537+00:00,1775350544223537000,166254533218583,1525,,,A,1150,40,1150.0,0.0,15.766355667,1.119238731304944
2098,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:55:50.115690+00:00,1775350550115690000,166260425386166,1525,,,A,1156,40,1157.0,-2.0,21.65852325,1.119238731304944
2099,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:55:50.115841+00:00,1775350550115841000,166260425537708,1525,,,A,1157,100,1157.0,-2.0,21.658674792,1.119238731304944
2100,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:55:50.115984+00:00,1775350550115984000,166260425680791,1525,,,A,1157,60,1157.0,-2.0,21.658817875,1.119238731304944
2783,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:55:58.559058+00:00,1775350558559058000,166268868775125,1650,,,A,1161,40,1162.0,-2.0,30.101912209,1.119238731304944
2784,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:55:58.559167+00:00,1775350558559167000,166268868884250,1650,,,A,1162,60,1162.0,-2.0,30.102021334,1.119238731304944
2785,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:55:58.559254+00:00,1775350558559254000,166268868971500,1650,,,A,1163,80,1162.0,-2.0,30.102108584,1.119238731304944
3034,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:56:01.582665+00:00,1775350561582665000,166271892389291,1650,,,A,1139,40,1139.5,-1.0,3.01824825,1.0607655298379044
3035,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:56:01.582793+00:00,1775350561582793000,166271892517291,1650,,,A,1140,60,1139.5,-1.0,3.01837625,1.0607655298379044
4108,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:56:14.988133+00:00,1775350574988133000,166285297889833,1725,,,A,1093,40,1093.0,0.0,16.423748792,1.0607655298379044
4319,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:56:17.459800+00:00,1775350577459800000,166287769564333,1725,,,A,1092,40,1090.5,-3.0,18.895423292,1.0607655298379044
4320,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:56:17.459887+00:00,1775350577459887000,166287769651041,1725,,,A,1091,60,1090.5,-3.0,18.89551,1.0607655298379044
4321,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:56:17.459963+00:00,1775350577459963000,166287769726500,1725,,,A,1090,80,1090.5,-3.0,18.895585459,1.0607655298379044
4322,A_research_2026-04-04_19-55-24_live_round,d6bdafd6aa01457e9e5ab12d9b60db8d,2026-04-05T00:56:17.460037+00:00,1775350577460037000,166287769801500,1725,,,A,1089,20,1090.5,-3.0,18.895660459,1.0607655298379044
