plot_symbol,earnings_asset,news_message_index,exchange_tick,exchange_time_ms,old_eps,new_eps,model_fair_value_jump,market_mid_before_news,spread_before_news,market_mid_after_100ms,spread_after_100ms,market_mid_after_250ms,spread_after_250ms,market_mid_after_500ms,spread_after_500ms,market_mid_after_1s,spread_after_1s,market_mid_after_2s,spread_after_2s,market_mid_after_5s,spread_after_5s,max_excursion_from_pre_news_mid,final_settling_move_5s
A,A,370241,750,150000.0,,1.0010201262953866,,1178.0,8.0,1177.0,8.0,1170.0,8.0,1165.5,7.0,1165.5,7.0,1176.0,6.0,1283.5,5.0,105.5,105.5
A,A,514794,1050,210000.0,1.0010201262953866,0.9593539475005942,-0.41666178794792397,1263.0,8.0,1261.0,8.0,1259.5,5.0,1261.0,4.0,1259.0,8.0,1251.0,8.0,1235.0,8.0,-28.0,-28.0
A,A,586867,1200,240000.0,0.9593539475005942,0.8700522320347607,-0.8930171546583354,1218.0,8.0,1216.0,8.0,1215.0,6.0,1210.0,6.0,1210.0,8.0,1190.0,8.0,1133.0,8.0,-85.0,-85.0
A,A,730266,1500,300000.0,0.8700522320347607,1.0020854963127903,1.3203326427802964,1315.0,8.0,1314.0,8.0,1314.0,8.0,1310.0,8.0,1305.0,8.0,1288.0,8.0,1285.0,8.0,-30.0,-30.0
A,A,802722,1650,330000.0,1.0020854963127903,1.0502085737745046,0.4812307746171429,1260.0,8.0,1262.0,8.0,1262.0,8.0,1267.5,5.0,1268.5,7.0,1285.0,2.0,1301.0,-2.0,41.0,41.0
A,A,947080,1950,390000.0,1.0502085737745046,0.9919728260509812,-0.5823574772352336,1267.0,8.0,1269.5,5.0,1271.0,8.0,1276.0,6.0,1276.0,8.0,1273.5,7.0,1250.5,7.0,-16.5,-16.5
A,A,1018444,2100,420000.0,0.9919728260509812,1.067300948228309,0.7532812217732765,1249.0,8.0,1247.5,7.0,1248.5,7.0,1249.5,7.0,1250.0,8.0,1253.5,5.0,1279.0,0.0,30.0,30.0
A,A,1163133,2400,480000.0,1.067300948228309,1.0771684093145164,0.09867461086207507,1335.0,8.0,1337.0,8.0,1337.0,8.0,1337.0,8.0,1339.0,8.0,1341.5,7.0,1348.5,7.0,13.5,13.5
A,A,1234638,2550,510000.0,1.0771684093145164,0.918365244741331,-1.5880316457318544,1340.0,8.0,1344.0,8.0,1338.0,8.0,1331.0,8.0,1319.5,3.0,1293.0,4.0,1212.0,8.0,-128.0,-128.0
A,A,1378477,2850,570000.0,0.918365244741331,0.9205711057737148,0.02205861032383849,1171.0,8.0,1174.0,6.0,1175.5,7.0,1177.0,6.0,1179.5,7.0,1174.0,8.0,1175.0,8.0,8.5,4.0
A,A,1449588,3000,600000.0,0.9205711057737148,1.0189862806095946,0.984151748358798,1190.0,8.0,1191.5,7.0,1193.5,5.0,1198.5,1.0,1207.0,4.0,1223.5,5.0,1278.0,6.0,88.0,88.0
A,A,1592536,3300,660000.0,1.0189862806095946,0.9429308506791584,-0.7605542993043624,1295.0,8.0,1298.0,4.0,1298.0,4.0,1303.5,5.0,1303.5,7.0,1287.0,8.0,1186.0,8.0,-109.0,-109.0
A,A,1663901,3450,690000.0,0.9429308506791584,0.9191959495178588,-0.23734901161299615,1214.0,8.0,1215.0,8.0,1211.0,8.0,1210.5,7.0,1210.0,8.0,1201.0,8.0,1181.0,6.0,-33.0,-33.0
A,A,1806036,3750,750000.0,0.9191959495178588,1.0036874122540247,0.8449146273616592,1187.0,8.0,1182.5,1.0,1192.5,3.0,1195.5,7.0,1201.0,4.0,1210.0,8.0,1250.5,3.0,63.5,63.5
A,A,1877893,3900,780000.0,1.0036874122540247,0.826216334890891,-1.7747107736313372,1274.0,8.0,1272.0,8.0,1269.0,8.0,1262.0,8.0,1249.0,8.0,1216.5,9.0,1129.0,8.0,-145.0,-145.0
A,A,2193699,4200,840000.0,0.826216334890891,0.992761347164262,1.6654501227337104,1100.0,8.0,1100.0,8.0,1095.0,4.0,1086.0,8.0,1081.0,8.0,1101.0,6.0,1307.0,-4.0,207.0,207.0
A,A,2259490,4350,870000.0,0.992761347164262,0.999137978188298,0.06376631024035961,1269.0,8.0,1269.0,8.0,1272.0,2.0,1275.0,8.0,1270.0,8.0,1270.0,8.0,1263.0,8.0,6.0,-6.0
C,C,514795,1050,210000.0,,1.9662881255142857,,885.0,8.0,891.0,-4.0,893.5,7.0,895.0,6.0,897.5,5.0,898.0,8.0,897.0,8.0,13.0,12.0
C,C,730267,1500,300000.0,1.9662881255142857,1.943339105119944,,886.0,8.0,886.0,8.0,878.0,8.0,877.0,8.0,875.5,5.0,879.0,8.0,875.5,7.0,-10.5,-10.5
C,C,947081,1950,390000.0,1.943339105119944,1.91949903197199,,876.0,8.0,876.0,8.0,867.5,7.0,865.0,8.0,865.0,4.0,871.0,8.0,867.5,7.0,-11.0,-8.5
C,C,1163134,2400,480000.0,1.91949903197199,1.9624231818727136,,869.0,8.0,880.5,-15.0,883.5,-5.0,889.0,10.0,888.5,7.0,890.0,8.0,884.5,7.0,21.0,15.5
C,C,1378478,2850,570000.0,1.9624231818727136,1.9844590705450345,,887.0,8.0,891.5,-1.0,895.5,7.0,896.0,8.0,894.0,8.0,892.0,8.0,888.0,4.0,9.0,1.0
C,C,1592537,3300,660000.0,1.9844590705450345,2.036457833176181,,897.0,8.0,909.5,-17.0,921.5,9.0,921.0,8.0,917.0,8.0,921.5,5.0,923.0,8.0,26.0,26.0
C,C,1806037,3750,750000.0,2.036457833176181,2.0210052372896334,,920.0,8.0,920.0,8.0,912.0,8.0,910.0,4.0,911.0,8.0,911.0,8.0,909.0,8.0,-11.0,-11.0
C,C,2193700,4200,840000.0,2.0210052372896334,2.005711489861767,,902.0,8.0,902.0,8.0,895.0,8.0,895.5,7.0,896.0,8.0,895.0,8.0,898.5,7.0,-7.0,-3.5
ETF,A,370241,750,150000.0,,1.0010201262953866,,3048.0,8.0,3052.0,0.0,3055.5,9.0,3053.0,8.0,3037.0,8.0,3037.0,8.0,3134.5,5.0,86.5,86.5
ETF,A,514794,1050,210000.0,1.0010201262953866,0.9593539475005942,-0.41666178794792397,3125.5,11.0,3135.0,-8.0,3137.0,-2.0,3140.5,11.0,3127.0,6.0,3133.0,8.0,3135.5,-1.0,15.0,10.0
ETF,C,514795,1050,210000.0,,1.9662881255142857,,3125.5,11.0,3135.0,-8.0,3137.0,-2.0,3140.5,11.0,3127.0,6.0,3133.0,8.0,3135.5,-1.0,15.0,10.0
ETF,A,586867,1200,240000.0,0.9593539475005942,0.8700522320347607,-0.8930171546583354,3115.0,8.0,3115.0,8.0,3110.0,8.0,3109.0,8.0,3098.0,8.0,3095.0,8.0,3032.0,8.0,-83.0,-83.0
ETF,A,730266,1500,300000.0,0.8700522320347607,1.0020854963127903,1.3203326427802964,3198.0,8.0,3198.0,8.0,3194.0,8.0,3190.0,8.0,3179.0,8.0,3188.0,8.0,3159.0,8.0,-39.0,-39.0
ETF,C,730267,1500,300000.0,1.9662881255142857,1.943339105119944,,3198.0,8.0,3198.0,8.0,3194.0,8.0,3190.0,8.0,3179.0,8.0,3188.0,8.0,3159.0,8.0,-39.0,-39.0
ETF,A,802722,1650,330000.0,1.0020854963127903,1.0502085737745046,0.4812307746171429,3139.0,8.0,3141.0,4.0,3145.0,4.0,3150.5,1.0,3140.5,3.0,3157.0,2.0,3162.0,8.0,23.0,23.0
ETF,A,947080,1950,390000.0,1.0502085737745046,0.9919728260509812,-0.5823574772352336,3140.0,8.0,3140.0,8.0,3142.0,4.0,3147.5,1.0,3148.0,-4.0,3165.0,8.0,3114.5,9.0,-25.5,-25.5
ETF,C,947081,1950,390000.0,1.943339105119944,1.91949903197199,,3140.0,8.0,3140.0,8.0,3142.0,4.0,3147.5,1.0,3148.0,-4.0,3165.0,8.0,3114.5,9.0,-25.5,-25.5
ETF,A,1018444,2100,420000.0,0.9919728260509812,1.067300948228309,0.7532812217732765,3125.0,8.0,3125.0,8.0,3124.5,-1.0,3128.5,7.0,3126.5,7.0,3157.0,8.0,3151.0,4.0,32.0,26.0
ETF,A,1163133,2400,480000.0,1.067300948228309,1.0771684093145164,0.09867461086207507,3197.0,8.0,3212.0,-22.0,3221.5,19.0,3220.0,0.0,3234.0,0.0,3228.0,8.0,3260.0,8.0,63.0,63.0
ETF,C,1163134,2400,480000.0,1.91949903197199,1.9624231818727136,,3197.0,8.0,3212.0,-22.0,3221.5,19.0,3220.0,0.0,3234.0,0.0,3228.0,8.0,3260.0,8.0,63.0,63.0
ETF,A,1234638,2550,510000.0,1.0771684093145164,0.918365244741331,-1.5880316457318544,3198.0,8.0,3201.0,2.0,3204.0,8.0,3202.0,8.0,3187.0,6.0,3151.0,8.0,3070.5,1.0,-127.5,-127.5
ETF,A,1378477,2850,570000.0,0.918365244741331,0.9205711057737148,0.02205861032383849,3062.0,8.0,3064.0,4.0,3066.5,7.0,3067.0,8.0,3080.5,-1.0,3072.5,9.0,3053.5,3.0,18.5,-8.5
ETF,C,1378478,2850,570000.0,1.9624231818727136,1.9844590705450345,,3062.0,8.0,3064.0,4.0,3066.5,7.0,3067.0,8.0,3080.5,-1.0,3072.5,9.0,3053.5,3.0,18.5,-8.5
ETF,A,1449588,3000,600000.0,0.9205711057737148,1.0189862806095946,0.984151748358798,3061.0,8.0,3061.0,8.0,3054.0,8.0,3045.0,6.0,3058.0,6.0,3082.5,-5.0,3154.5,1.0,93.5,93.5
ETF,A,1592536,3300,660000.0,1.0189862806095946,0.9429308506791584,-0.7605542993043624,3183.0,8.0,3192.0,-10.0,3207.0,2.0,3209.5,7.0,3224.0,8.0,3193.0,10.0,3084.0,6.0,-99.0,-99.0
ETF,C,1592537,3300,660000.0,1.9844590705450345,2.036457833176181,,3183.0,8.0,3192.0,-10.0,3207.0,2.0,3209.5,7.0,3224.0,8.0,3193.0,10.0,3084.0,6.0,-99.0,-99.0
ETF,A,1663901,3450,690000.0,0.9429308506791584,0.9191959495178588,-0.23734901161299615,3103.0,8.0,3109.5,-5.0,3112.0,6.0,3107.0,6.0,3103.5,5.0,3092.0,2.0,3098.5,7.0,-11.0,-4.5
ETF,A,1806036,3750,750000.0,0.9191959495178588,1.0036874122540247,0.8449146273616592,3102.0,8.0,3102.0,8.0,3093.0,6.0,3089.0,8.0,3094.0,8.0,3120.0,8.0,3163.5,-1.0,61.5,61.5
ETF,C,1806037,3750,750000.0,2.036457833176181,2.0210052372896334,,3102.0,8.0,3102.0,8.0,3093.0,6.0,3089.0,8.0,3094.0,8.0,3120.0,8.0,3163.5,-1.0,61.5,61.5
ETF,A,1877893,3900,780000.0,1.0036874122540247,0.826216334890891,-1.7747107736313372,3213.5,9.0,3214.0,8.0,3214.0,8.0,3203.5,3.0,3174.5,5.0,3133.0,-10.0,3047.5,-5.0,-166.0,-166.0
ETF,A,2193699,4200,840000.0,0.826216334890891,0.992761347164262,1.6654501227337104,3016.0,8.0,3016.0,8.0,3014.0,8.0,3009.0,8.0,2986.0,8.0,3016.0,-8.0,3213.5,1.0,197.5,197.5
ETF,C,2193700,4200,840000.0,2.0210052372896334,2.005711489861767,,3016.0,8.0,3016.0,8.0,3014.0,8.0,3009.0,8.0,2986.0,8.0,3016.0,-8.0,3213.5,1.0,197.5,197.5
ETF,A,2259490,4350,870000.0,0.992761347164262,0.999137978188298,0.06376631024035961,3177.0,8.0,3180.0,2.0,3183.0,8.0,3179.0,8.0,3170.0,6.0,3163.0,8.0,3186.0,6.0,-14.0,9.0
