plot_symbol,earnings_asset,news_id,timestamp_iso,exchange_tick,old_eps,new_eps,model_fair_value_jump,market_mid_before_news,spread_before_news,market_mid_after_100ms,spread_after_100ms,market_mid_after_250ms,spread_after_250ms,market_mid_after_500ms,spread_after_500ms,market_mid_after_1s,spread_after_1s,market_mid_after_2s,spread_after_2s,market_mid_after_5s,spread_after_5s,max_excursion_from_pre_news_mid,final_settling_move_5s
A,A,market_research_2026-04-05_00-10-48_live_round-news-1,2026-04-05T05:12:51.120559+00:00,600,,0.9150930058312388,,1195.0,8.0,1195.0,8.0,1195.0,8.0,1195.0,8.0,1194.0,8.0,1194.0,8.0,1196.0,8.0,-1.0,1.0
A,A,market_research_2026-04-05_00-10-48_live_round-news-3,2026-04-05T05:15:23.711229+00:00,750,0.9150930058312388,1.0010201262953866,0.8592712046414803,1178.0,8.0,1178.0,8.0,1178.0,8.0,1178.0,8.0,1177.5,7.0,1177.0,8.0,1166.0,8.0,-12.0,-12.0
A,A,market_research_2026-04-05_00-10-48_live_round-news-4,2026-04-05T05:22:54.442473+00:00,1050,1.0010201262953866,0.9593539475005942,-0.41666178794792685,1263.0,8.0,1263.0,8.0,1263.0,8.0,1263.0,8.0,1262.0,6.0,1261.0,8.0,1261.0,4.0,-2.0,-2.0
C,C,market_research_2026-04-05_00-10-48_live_round-news-2,2026-04-05T05:12:51.131762+00:00,600,,1.9446208767385624,,886.0,8.0,886.0,8.0,886.0,8.0,883.0,4.0,881.0,8.0,880.0,8.0,878.0,8.0,-8.0,-8.0
C,C,market_research_2026-04-05_00-10-48_live_round-news-5,2026-04-05T05:22:54.464724+00:00,1050,1.9446208767385624,1.9662881255142857,,885.0,8.0,891.0,-4.0,891.0,-4.0,891.0,-4.0,891.0,-4.0,893.5,7.0,896.0,8.0,11.0,11.0
ETF,A,market_research_2026-04-05_00-10-48_live_round-news-1,2026-04-05T05:12:51.120559+00:00,600,,0.9150930058312388,,3080.0,8.0,3077.0,2.0,3074.0,8.0,3074.0,8.0,3070.0,8.0,3061.5,7.0,3045.5,7.0,-34.5,-34.5
ETF,C,market_research_2026-04-05_00-10-48_live_round-news-2,2026-04-05T05:12:51.131762+00:00,600,,1.9446208767385624,,3080.0,8.0,3077.0,2.0,3074.0,8.0,3074.0,8.0,3070.0,8.0,3061.5,7.0,3045.5,7.0,-34.5,-34.5
ETF,A,market_research_2026-04-05_00-10-48_live_round-news-3,2026-04-05T05:15:23.711229+00:00,750,0.9150930058312388,1.0010201262953866,0.8592712046414803,3048.0,8.0,3052.0,2.0,3054.0,6.0,3055.5,9.0,3055.5,9.0,3053.0,8.0,3040.0,2.0,-8.0,-8.0
ETF,A,market_research_2026-04-05_00-10-48_live_round-news-4,2026-04-05T05:22:54.442473+00:00,1050,1.0010201262953866,0.9593539475005942,-0.41666178794792685,3125.5,11.0,3125.5,11.0,3127.0,14.0,3137.0,-2.0,3137.0,-2.0,3140.5,11.0,3127.0,6.0,15.0,1.5
ETF,C,market_research_2026-04-05_00-10-48_live_round-news-5,2026-04-05T05:22:54.464724+00:00,1050,1.9446208767385624,1.9662881255142857,,3125.5,11.0,3126.0,12.0,3134.0,0.0,3137.0,-2.0,3137.0,-2.0,3140.5,11.0,3127.0,6.0,15.0,1.5
