news_id,session_id,run_id,wall_time_iso,wall_time_ns,monotonic_ns,exchange_tick,round,day,kind,symbol,structured_subtype,earnings_value,raw_content,normalized_content,parsed_sentiment,parsed_signal_strength,previous_known_eps_for_A,new_known_eps_for_A,inferred_fair_price_before,inferred_fair_price_after,note
A_research_2026-04-04_19-04-44_live_round-news-1,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:04:56.520436+00:00,1775347496520436000,164923160526666,83,,,unstructured,A,,,"Investor sentiment sours, sending A’s stock into decline.","{""content"":""Investor sentiment sours, sending A\u2019s stock into decline."",""type"":""News""}",,,,,,,Unstructured news tagged to A.
A_research_2026-04-04_19-04-44_live_round-news-2,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:09.993197+00:00,1775347509993197000,164936633338291,150,,,structured,A,earnings,0.9121937626958488,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.9121937626958488}",,,,0.9121937626958488,,9.121937626958488,Structured earnings for A.
A_research_2026-04-04_19-04-44_live_round-news-3,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:05:40.163094+00:00,1775347540163094000,164966801542166,300,,,structured,A,earnings,1.0643148419648416,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.0643148419648416}",,,0.9121937626958488,1.0643148419648416,9.121937626958488,10.643148419648416,Structured earnings for A.
A_research_2026-04-04_19-04-44_live_round-news-4,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:06:40.489205+00:00,1775347600489205000,165027127513125,600,,,structured,A,earnings,0.856632727991412,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.856632727991412}",,,1.0643148419648416,0.856632727991412,10.643148419648416,8.56632727991412,Structured earnings for A.
A_research_2026-04-04_19-04-44_live_round-news-5,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:07:10.654254+00:00,1775347630654254000,165057292638000,750,,,structured,A,earnings,1.0383597166597665,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.0383597166597665}",,,0.856632727991412,1.0383597166597665,8.56632727991412,10.383597166597664,Structured earnings for A.
A_research_2026-04-04_19-04-44_live_round-news-6,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:08:10.980154+00:00,1775347690980154000,165117618700333,1050,,,structured,A,earnings,1.069582884277565,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.069582884277565}",,,1.0383597166597665,1.069582884277565,10.383597166597664,10.69582884277565,Structured earnings for A.
A_research_2026-04-04_19-04-44_live_round-news-7,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:08:20.094125+00:00,1775347700094125000,165126732696083,1095,,,unstructured,A,,,A suffers setbacks in critical overseas markets.,"{""content"":""A suffers setbacks in critical overseas markets."",""type"":""News""}",,,1.069582884277565,1.069582884277565,10.69582884277565,10.69582884277565,Unstructured news tagged to A.
A_research_2026-04-04_19-04-44_live_round-news-8,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:08:41.240833+00:00,1775347721240833000,165147879460875,1200,,,structured,A,earnings,0.9799069177812346,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.9799069177812346}",,,1.069582884277565,0.9799069177812346,10.69582884277565,9.799069177812346,Structured earnings for A.
A_research_2026-04-04_19-04-44_live_round-news-9,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:09:41.522324+00:00,1775347781522324000,165208161114458,1500,,,structured,A,earnings,1.1315184509526777,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.1315184509526777}",,,0.9799069177812346,1.1315184509526777,9.799069177812346,11.315184509526777,Structured earnings for A.
A_research_2026-04-04_19-04-44_live_round-news-10,A_research_2026-04-04_19-04-44_live_round,0bbebde3d5824359a06f0ab697948d52,2026-04-05T00:10:11.633389+00:00,1775347811633389000,165238272260416,1650,,,structured,A,earnings,0.9556335826732244,,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.9556335826732244}",,,1.1315184509526777,0.9556335826732244,11.315184509526777,9.556335826732244,Structured earnings for A.
