news_id,timestamp_iso,exchange_tick,old_eps,new_eps,model_fair_value_jump,market_mid_before_news,spread_before_news,market_mid_after_100ms,spread_after_100ms,market_mid_after_250ms,spread_after_250ms,market_mid_after_500ms,spread_after_500ms,market_mid_after_1s,spread_after_1s,market_mid_after_2s,spread_after_2s,market_mid_after_5s,spread_after_5s,max_excursion_from_pre_news_mid,final_settling_move_5s
A_research_2026-04-04_19-04-44_live_round-news-2,2026-04-05T00:05:09.993197+00:00,150,,0.9121937626958488,,629.0,8.0,629.0,8.0,628.5,7.0,626.5,5.0,624.5,7.0,619.5,3.0,679.0,4.0,50.0,50.0
A_research_2026-04-04_19-04-44_live_round-news-3,2026-04-05T00:05:40.163094+00:00,300,0.9121937626958488,1.0643148419648416,1.5212107926899279,718.0,8.0,718.5,7.0,721.0,4.0,724.0,2.0,731.0,6.0,744.0,4.0,798.5,1.0,80.5,80.5
A_research_2026-04-04_19-04-44_live_round-news-4,2026-04-05T00:06:40.489205+00:00,600,1.0643148419648416,0.856632727991412,-2.076821139734296,867.0,8.0,866.5,7.0,866.0,8.0,863.0,8.0,864.0,8.0,872.0,8.0,868.0,8.0,5.0,1.0
A_research_2026-04-04_19-04-44_live_round-news-5,2026-04-05T00:07:10.654254+00:00,750,0.856632727991412,1.0383597166597665,1.817269886683544,664.0,8.0,662.0,4.0,663.0,2.0,668.0,6.0,677.5,-3.0,697.5,3.0,755.5,1.0,91.5,91.5
A_research_2026-04-04_19-04-44_live_round-news-6,2026-04-05T00:08:10.980154+00:00,1050,1.0383597166597665,1.069582884277565,0.3122316761779871,825.0,8.0,827.0,4.0,828.5,7.0,828.5,7.0,828.5,7.0,837.0,8.0,839.0,8.0,14.0,14.0
A_research_2026-04-04_19-04-44_live_round-news-8,2026-04-05T00:08:41.240833+00:00,1200,1.069582884277565,0.9799069177812346,-0.8967596649633052,792.0,8.0,790.5,7.0,791.0,6.0,793.0,8.0,796.5,7.0,793.5,5.0,785.0,8.0,-7.0,-7.0
A_research_2026-04-04_19-04-44_live_round-news-9,2026-04-05T00:09:41.522324+00:00,1500,0.9799069177812346,1.1315184509526777,1.5161153317144311,776.5,7.0,777.0,8.0,778.5,5.0,779.0,6.0,778.5,7.0,792.0,6.0,785.5,5.0,15.5,9.0
A_research_2026-04-04_19-04-44_live_round-news-10,2026-04-05T00:10:11.633389+00:00,1650,1.1315184509526777,0.9556335826732244,-1.7588486827945324,922.0,8.0,922.0,8.0,922.0,8.0,925.5,7.0,928.0,8.0,921.5,7.0,922.0,6.0,6.0,0.0
A_research_2026-04-04_19-04-44_live_round-news-11,2026-04-05T00:11:11.994206+00:00,1950,0.9556335826732244,1.1666919426013953,2.110583599281707,749.0,8.0,748.5,7.0,745.0,2.0,741.5,1.0,735.5,7.0,737.5,7.0,894.0,0.0,145.0,145.0
A_research_2026-04-04_19-04-44_live_round-news-12,2026-04-05T00:11:42.134654+00:00,2100,1.1666919426013953,0.8734297058959161,-2.9326223670547904,964.0,8.0,965.0,6.0,966.0,8.0,961.5,1.0,943.0,2.0,905.5,3.0,805.0,2.0,-159.0,-159.0
A_research_2026-04-04_19-04-44_live_round-news-13,2026-04-05T00:12:42.471906+00:00,2400,0.8734297058959161,0.9870603082357104,1.1363060233979425,663.0,8.0,662.5,7.0,662.0,8.0,657.0,4.0,654.0,6.0,651.0,8.0,717.0,8.0,54.0,54.0
A_research_2026-04-04_19-04-44_live_round-news-14,2026-04-05T00:13:12.655625+00:00,2550,0.9870603082357104,1.0102494175477166,0.23189109312006018,786.0,8.0,785.5,7.0,785.0,8.0,784.5,7.0,787.0,8.0,794.0,8.0,783.5,7.0,8.0,-2.5
A_research_2026-04-04_19-04-44_live_round-news-15,2026-04-05T00:14:12.989039+00:00,2850,1.0102494175477166,1.0369011690369423,0.26651751489225894,798.5,7.0,798.5,7.0,798.0,8.0,799.5,5.0,799.0,6.0,805.0,8.0,818.0,6.0,19.5,19.5
A_research_2026-04-04_19-04-44_live_round-news-16,2026-04-05T00:14:43.188052+00:00,3000,1.0369011690369423,0.7888442008499641,-2.480569681869781,830.0,8.0,828.5,5.0,825.5,5.0,824.0,8.0,810.5,-1.0,777.5,-1.0,701.5,1.0,-128.5,-128.5
