news_id,session_id,run_id,wall_time_iso,wall_time_ns,monotonic_ns,exchange_tick,round,day,kind,symbol,structured_subtype,earnings_asset,earnings_value,affected_symbols_json,raw_content,normalized_content,parsed_sentiment,parsed_signal_strength,previous_known_eps_for_asset,new_known_eps_for_asset,inferred_fair_price_before,inferred_fair_price_after,note
market_research_2026-04-04_21-22-29_live_round-news-1,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:22:59.242362+00:00,1775355779242362000,171489567555000,300,,,structured,A,earnings,A,0.9534721385539758,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.9534721385539758}",,,,0.9534721385539758,,9.534721385539758,Structured earnings for A.
market_research_2026-04-04_21-22-29_live_round-news-2,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:24:02.270864+00:00,1775355842270864000,171552596225458,600,,,structured,A,earnings,A,1.127464044604867,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.127464044604867}",,,0.9534721385539758,1.127464044604867,9.534721385539758,11.27464044604867,Structured earnings for A.
market_research_2026-04-04_21-22-29_live_round-news-3,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:24:02.279905+00:00,1775355842279905000,171552605265916,600,,,structured,C,earnings,C,1.946755997208881,"[""C"",""ETF""]",,"{""asset"":""C"",""structured_subtype"":""earnings"",""value"":1.946755997208881}",,,,1.946755997208881,,,Structured earnings for C.
market_research_2026-04-04_21-22-29_live_round-news-4,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:24:46.554228+00:00,1775355886554228000,171596879707791,750,,,structured,A,earnings,A,0.9972081933533492,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.9972081933533492}",,,1.127464044604867,0.9972081933533492,11.27464044604867,9.972081933533492,Structured earnings for A.
market_research_2026-04-04_21-22-29_live_round-news-5,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:26:54.620649+00:00,1775356014620649000,171724946470583,1050,,,structured,A,earnings,A,1.0236621058783983,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.0236621058783983}",,,0.9972081933533492,1.0236621058783983,9.972081933533492,10.236621058783983,Structured earnings for A.
market_research_2026-04-04_21-22-29_live_round-news-6,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:26:54.642459+00:00,1775356014642459000,171724968280125,1050,,,structured,C,earnings,C,1.888616307232898,"[""C"",""ETF""]",,"{""asset"":""C"",""structured_subtype"":""earnings"",""value"":1.888616307232898}",,,1.946755997208881,1.888616307232898,,,Structured earnings for C.
market_research_2026-04-04_21-22-29_live_round-news-7,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:28:22.772656+00:00,1775356102772656000,171813098712541,1200,,,structured,A,earnings,A,0.8768362293012025,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.8768362293012025}",,,1.0236621058783983,0.8768362293012025,10.236621058783983,8.768362293012025,Structured earnings for A.
market_research_2026-04-04_21-22-29_live_round-news-8,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:29:12.582744+00:00,1775356152582744000,171862908933708,1280,,,unstructured,A,,,,"[""A""]",A takes a leading position in a growing niche market.,"{""content"":""A takes a leading position in a growing niche market."",""type"":""News""}",,,,,,,Unstructured news tagged to A. Unstructured news mentions A.
market_research_2026-04-04_21-22-29_live_round-news-9,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:30:48.176073+00:00,1775356248176073000,171958502518541,1416,,,unstructured,A,,,,"[""A""]",High-profile investor acquires significant stake in A.,"{""content"":""High-profile investor acquires significant stake in A."",""type"":""News""}",,,,,,,Unstructured news tagged to A. Unstructured news mentions A.
market_research_2026-04-04_21-22-29_live_round-news-10,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:31:47.805398+00:00,1775356307805398000,172018132002375,1500,,,structured,A,earnings,A,0.8324129727310562,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.8324129727310562}",,,0.8768362293012025,0.8324129727310562,8.768362293012025,8.324129727310561,Structured earnings for A.
market_research_2026-04-04_21-22-29_live_round-news-11,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:31:47.838042+00:00,1775356307838042000,172018164645583,1500,,,structured,C,earnings,C,1.861457247224262,"[""C"",""ETF""]",,"{""asset"":""C"",""structured_subtype"":""earnings"",""value"":1.861457247224262}",,,1.888616307232898,1.861457247224262,,,Structured earnings for C.
market_research_2026-04-04_21-22-29_live_round-news-12,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:33:36.102498+00:00,1775356416102498000,172126429391291,1650,,,structured,A,earnings,A,0.8838431684903902,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":0.8838431684903902}",,,0.8324129727310562,0.8838431684903902,8.324129727310561,8.838431684903902,Structured earnings for A.
market_research_2026-04-04_21-22-29_live_round-news-13,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:37:41.923247+00:00,1775356661923247000,172372250796791,1950,,,structured,A,earnings,A,1.3925929733903109,"[""A"",""ETF""]",,"{""asset"":""A"",""structured_subtype"":""earnings"",""value"":1.3925929733903109}",,,0.8838431684903902,1.3925929733903109,8.838431684903902,13.925929733903109,Structured earnings for A.
market_research_2026-04-04_21-22-29_live_round-news-14,market_research_2026-04-04_21-22-29_live_round,f974d41e6f2b44c69df8c990afaf26d2,2026-04-05T02:37:41.944611+00:00,1775356661944611000,172372272160833,1950,,,structured,C,earnings,C,1.8629055547812696,"[""C"",""ETF""]",,"{""asset"":""C"",""structured_subtype"":""earnings"",""value"":1.8629055547812696}",,,1.861457247224262,1.8629055547812696,,,Structured earnings for C.
