plot_symbol,earnings_asset,news_id,timestamp_iso,exchange_tick,old_eps,new_eps,model_fair_value_jump,market_mid_before_news,spread_before_news,market_mid_after_100ms,spread_after_100ms,market_mid_after_250ms,spread_after_250ms,market_mid_after_500ms,spread_after_500ms,market_mid_after_1s,spread_after_1s,market_mid_after_2s,spread_after_2s,market_mid_after_5s,spread_after_5s,max_excursion_from_pre_news_mid,final_settling_move_5s
A,A,market_research_2026-04-04_21-22-29_live_round-news-1,2026-04-05T02:22:59.242362+00:00,300,,0.9534721385539758,,1096.0,6.0,1093.5,1.0,1092.5,3.0,1092.5,3.0,1094.5,3.0,1099.5,5.0,1058.0,6.0,-38.0,-38.0
A,A,market_research_2026-04-04_21-22-29_live_round-news-2,2026-04-05T02:24:02.270864+00:00,600,0.9534721385539758,1.127464044604867,1.739919060508912,954.0,6.0,954.0,6.0,952.0,6.0,950.0,6.0,955.5,-1.0,966.5,5.0,999.5,-1.0,45.5,45.5
A,A,market_research_2026-04-04_21-22-29_live_round-news-4,2026-04-05T02:24:46.554228+00:00,750,1.127464044604867,0.9972081933533492,-1.3025585125151782,1130.0,6.0,1131.0,4.0,1131.0,4.0,1132.0,6.0,1126.0,6.0,1124.0,6.0,1107.0,6.0,-23.0,-23.0
A,A,market_research_2026-04-04_21-22-29_live_round-news-5,2026-04-05T02:26:54.620649+00:00,1050,0.9972081933533492,1.0236621058783983,0.26453912525049184,995.0,8.0,996.0,6.0,996.0,6.0,996.0,6.0,997.5,3.0,997.5,3.0,996.0,2.0,2.5,1.0
A,A,market_research_2026-04-04_21-22-29_live_round-news-7,2026-04-05T02:28:22.772656+00:00,1200,1.0236621058783983,0.8768362293012025,-1.4682587657719584,1031.0,6.0,1031.0,6.0,1031.0,6.0,1027.5,5.0,1029.0,4.0,1031.0,6.0,1024.5,3.0,-6.5,-6.5
A,A,market_research_2026-04-04_21-22-29_live_round-news-10,2026-04-05T02:31:47.805398+00:00,1500,0.8768362293012025,0.8324129727310562,-0.44423256570146386,1188.0,6.0,1189.0,4.0,1189.0,4.0,1190.0,6.0,1191.5,3.0,1196.5,3.0,1198.5,3.0,10.5,10.5
A,A,market_research_2026-04-04_21-22-29_live_round-news-12,2026-04-05T02:33:36.102498+00:00,1650,0.8324129727310562,0.8838431684903902,0.5143019575933412,835.0,6.0,835.5,5.0,835.5,5.0,836.0,6.0,837.0,4.0,835.5,5.0,835.0,4.0,2.0,0.0
A,A,market_research_2026-04-04_21-22-29_live_round-news-13,2026-04-05T02:37:41.923247+00:00,1950,0.8838431684903902,1.3925929733903109,5.087498048999205,885.5,5.0,887.0,2.0,887.0,2.0,887.0,2.0,890.0,4.0,891.5,5.0,892.0,6.0,6.5,6.5
C,C,market_research_2026-04-04_21-22-29_live_round-news-3,2026-04-05T02:24:02.279905+00:00,600,,1.946755997208881,,1034.0,6.0,1034.0,6.0,1024.0,-8.0,1019.0,6.0,1020.0,6.0,1020.0,4.0,1027.0,6.0,-15.0,-7.0
C,C,market_research_2026-04-04_21-22-29_live_round-news-6,2026-04-05T02:26:54.642459+00:00,1050,1.946755997208881,1.888616307232898,,1025.0,6.0,1025.0,6.0,1025.0,6.0,1010.5,-17.0,994.0,2.0,993.0,6.0,991.0,6.0,-34.0,-34.0
