wall_ts,event,tick,symbol,side,qty,price,order_id,tag,reason,message,pos_C,avg_C,realized_pnl,unrealized_pnl,total_pnl,cash,session_mtm,thesis,signal_thesis,signal_side,signal_target,signal_strength,signal_fresh,fair,c_bid,c_ask,c_mid,c_spread,eps,earnings_delta,cpi_surprise,cpi_bias_bp,cpi_actual,cpi_forecast,macro_score,macro_target,macro_direction,earnings_trend,news_kind,news_subtype,news_asset,rate_bp,market_rate_bp,q_hike,q_hold,q_cut,pm_pos_hike,pm_pos_hold,pm_pos_cut,mark_source,kill_switch,raw_news
1775848146.205505,startup,0,,,,,,,,C-only mode; PM read-only,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,,,,,,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,,,,,,0,0,0,flat,False,
1775848146.206952,heartbeat,0,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,,975,981,978.0000,6,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,,,,,,0,0,0,flat,False,
1775848146.207824,anchor_init,0,,,,,,,,default_eps,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,978.0000,975,981,978.0000,6,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,0.0000,0.0000,0.300000,0.400000,0.300000,0,0,0,flat,False,
1775848149.207402,heartbeat,0,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,977.8831,980,984,982.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,0.1126,0.1126,0.302651,0.399200,0.298149,0,0,0,flat,False,
1775848152.207718,heartbeat,0,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,978.1947,981,984,982.5000,3,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,-0.1874,-0.1874,0.296352,0.399800,0.303848,0,0,0,flat,False,
1775848155.207728,heartbeat,0,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,976.8453,971,975,973.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,1.1125,1.1125,0.321500,0.401500,0.277000,0,0,0,flat,False,
1775848157.195725,cpi_eval,42,,,0,,,,no_actual_forecast,no actual/forecast; score=+0.00 headline=Fed keeps options open as inflation and growth signals conflict.,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,977.2088,973,979,976.0000,6,2.000000,0.000000,0.000000,0.0000,,,0.0000,0,,+0.000000,unstructured,,,0.7621,0.7621,0.314343,0.401799,0.283858,0,0,0,flat,False,"{'timestamp': 42, 'kind': 'unstructured', 'new_data': {'content': 'Fed keeps options open as inflation and growth signals conflict.'}}"
1775848157.195904,macro_eval,42,,,0,,,,below_threshold,score=+0.00 headline=Fed keeps options open as inflation and growth signals conflict.,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,977.2088,973,979,976.0000,6,2.000000,0.000000,0.000000,0.0000,,,0.0000,0,,+0.000000,unstructured,,,0.7621,0.7621,0.314343,0.401799,0.283858,0,0,0,flat,False,"{'timestamp': 42, 'kind': 'unstructured', 'new_data': {'content': 'Fed keeps options open as inflation and growth signals conflict.'}}"
1775848157.196273,news_ignored,42,,,,,,,weak_macro_news,score=+0.00 headline=Fed keeps options open as inflation and growth signals conflict.,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,977.2088,973,979,976.0000,6,2.000000,0.000000,0.000000,0.0000,,,0.0000,0,,+0.000000,unstructured,,,0.7621,0.7621,0.314343,0.401799,0.283858,0,0,0,flat,False,"{'timestamp': 42, 'kind': 'unstructured', 'new_data': {'content': 'Fed keeps options open as inflation and growth signals conflict.'}}"
1775848158.207711,heartbeat,42,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,977.1699,976,980,978.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,0.7996,0.7996,0.314843,0.402299,0.282859,0,0,0,flat,False,
