wall_ts,event,tick,symbol,side,qty,price,order_id,tag,reason,message,pos_C,avg_C,realized_pnl,unrealized_pnl,total_pnl,cash,session_mtm,thesis,signal_thesis,signal_side,signal_target,signal_strength,signal_fresh,fair,c_bid,c_ask,c_mid,c_spread,eps,earnings_delta,cpi_surprise,cpi_bias_bp,cpi_actual,cpi_forecast,macro_score,macro_target,macro_direction,earnings_trend,news_kind,news_subtype,news_asset,rate_bp,market_rate_bp,q_hike,q_hold,q_cut,pm_pos_hike,pm_pos_hold,pm_pos_cut,mark_source,kill_switch,raw_news
1775841734.597218,startup,0,,,,,,,,C-only mode; PM read-only,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,,,,,,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,,,,,,0,0,0,flat,False,
1775841734.597911,heartbeat,0,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,,980,984,982.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,,,,,,0,0,0,flat,False,
1775841734.598202,anchor_init,0,,,,,,,,default_eps,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,982.0000,980,984,982.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,0.0000,0.0000,0.300000,0.400000,0.300000,0,0,0,flat,False,
1775841734.635595,startup,0,,,,,,,,C-only mode; PM read-only,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,982.0000,980,984,982.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,0.0000,0.0000,0.300000,0.400000,0.300000,0,0,0,flat,False,
1775841734.904830,startup,0,,,,,,,,C-only mode; PM read-only,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,982.0000,980,984,982.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,0.0000,0.0000,0.300000,0.400000,0.300000,0,0,0,flat,False,
1775841735.260809,startup,0,,,,,,,,C-only mode; PM read-only,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,982.0000,980,984,982.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,0.0000,0.0000,0.300000,0.400000,0.300000,0,0,0,flat,False,
1775841735.263957,startup,0,,,,,,,,C-only mode; PM read-only,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,982.0000,980,984,982.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,0.0000,0.0000,0.300000,0.400000,0.300000,0,0,0,flat,False,
1775841737.661020,heartbeat,0,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,982.0000,980,984,982.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,0.0000,0.0000,0.300000,0.400000,0.300000,0,0,0,flat,False,
1775841739.535935,startup,0,,,,,,,,C-only mode; PM read-only,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,982.0000,980,984,982.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,0.0000,0.0000,0.300000,0.400000,0.300000,0,0,0,flat,False,
1775841740.677899,heartbeat,0,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,982.0000,980,984,982.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,0.0000,0.0000,0.300000,0.400000,0.300000,0,0,0,flat,False,
1775841743.691298,heartbeat,0,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,981.9348,981,985,983.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,0.0625,0.0625,0.301500,0.399500,0.299000,0,0,0,flat,False,
1775841743.706411,startup,0,,,,,,,,C-only mode; PM read-only,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,981.9348,981,985,983.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,0.0625,0.0625,0.301500,0.399500,0.299000,0,0,0,flat,False,
1775841746.706358,heartbeat,0,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,980.4233,974,978,976.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,1.5133,1.5133,0.330165,0.400200,0.269635,0,0,0,flat,False,
1775841748.122276,startup,0,,,,,,,,C-only mode; PM read-only,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,980.0338,975,979,977.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,1.8875,1.8875,0.338500,0.398500,0.263000,0,0,0,flat,False,
1775841748.192751,startup,0,,,,,,,,C-only mode; PM read-only,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,980.0338,975,979,977.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,1.8875,1.8875,0.338500,0.398500,0.263000,0,0,0,flat,False,
1775841749.721370,heartbeat,0,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,982.2087,979,983,981.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,-0.2001,-0.2001,0.295148,0.401701,0.303152,0,0,0,flat,False,
1775841752.047026,cpi_eval,48,,,0,,,,no_actual_forecast,no actual/forecast; score=+0.00 headline=Fed minutes reveal broad agreement that inflation remains too high.,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,982.6781,980,984,982.0000,4,2.000000,0.000000,0.000000,0.0000,,,0.0000,0,,+0.000000,unstructured,,,-0.6500,-0.6500,0.286000,0.402000,0.312000,0,0,0,flat,False,"{'timestamp': 48, 'kind': 'unstructured', 'new_data': {'content': 'Fed minutes reveal broad agreement that inflation remains too high.'}}"
1775841752.047185,macro_eval,48,,,0,,,,below_threshold,score=+0.00 headline=Fed minutes reveal broad agreement that inflation remains too high.,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,982.6781,980,984,982.0000,4,2.000000,0.000000,0.000000,0.0000,,,0.0000,0,,+0.000000,unstructured,,,-0.6500,-0.6500,0.286000,0.402000,0.312000,0,0,0,flat,False,"{'timestamp': 48, 'kind': 'unstructured', 'new_data': {'content': 'Fed minutes reveal broad agreement that inflation remains too high.'}}"
1775841752.047324,news_ignored,48,,,,,,,weak_macro_news,score=+0.00,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,982.6781,980,984,982.0000,4,2.000000,0.000000,0.000000,0.0000,,,0.0000,0,,+0.000000,unstructured,,,-0.6500,-0.6500,0.286000,0.402000,0.312000,0,0,0,flat,False,"{'timestamp': 48, 'kind': 'unstructured', 'new_data': {'content': 'Fed minutes reveal broad agreement that inflation remains too high.'}}"
1775841752.736087,heartbeat,48,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,977.8906,966,970,968.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,3.9500,3.9500,0.382500,0.393000,0.224500,0,0,0,flat,False,
1775841755.751972,heartbeat,48,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,978.8350,963,970,966.5000,7,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,3.0405,3.0405,0.361862,0.397898,0.240240,0,0,0,flat,False,
1775841758.768694,heartbeat,48,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,978.7472,969,974,971.5000,5,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,3.1250,3.1250,0.363500,0.398000,0.238500,0,0,0,flat,False,
1775841761.786457,heartbeat,48,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,976.7989,961,965,963.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,5.0025,5.0025,0.405203,0.389695,0.205103,0,0,0,flat,False,
1775841762.449889,cpi_blocked,100,,SELL,200,,,,no_real_c_baseline,actual=0.003000 forecast=0.001900 surprise=+0.001100,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,973.0075,964,968,966.0000,4,2.000000,0.000000,0.001100,4.4000,0.003000,0.001900,,,,,,,,8.6686,4.2686,0.388917,0.392911,0.218173,0,0,0,flat,False,"{'timestamp': 100, 'kind': 'structured', 'new_data': {'new_signatures': 0, 'cumulative': 0, 'asset': '', 'structured_subtype': 'petition'}}"
1775841764.456879,anchor_init,110,,,,,,,,real_earnings,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,968.0000,966,970,968.0000,4,2.004205,0.000000,0.001100,4.4000,,,,,,,,,,8.6521,4.2521,0.388194,0.393697,0.218109,0,0,0,flat,False,
