wall_ts,event,tick,symbol,side,qty,price,order_id,tag,reason,message,pos_C,avg_C,realized_pnl,unrealized_pnl,total_pnl,cash,session_mtm,thesis,signal_thesis,signal_side,signal_target,signal_strength,signal_fresh,fair,c_bid,c_ask,c_mid,c_spread,eps,earnings_delta,cpi_surprise,cpi_bias_bp,cpi_actual,cpi_forecast,macro_score,macro_target,macro_direction,earnings_trend,news_kind,news_subtype,news_asset,rate_bp,market_rate_bp,q_hike,q_hold,q_cut,pm_pos_hike,pm_pos_hold,pm_pos_cut,mark_source,kill_switch,raw_news
1775843567.781629,startup,0,,,,,,,,C-only mode; PM read-only,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,,,,,,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,,,,,,0,0,0,flat,False,
1775843567.782389,heartbeat,0,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,,977,981,979.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,,,,,,0,0,0,flat,False,
1775843567.782703,anchor_init,0,,,,,,,,default_eps,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,979.0000,977,981,979.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,0.0000,0.0000,0.300000,0.400000,0.300000,0,0,0,flat,False,
1775843570.826289,heartbeat,0,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,979.0000,977,981,979.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,0.0000,0.0000,0.300000,0.400000,0.300000,0,0,0,flat,False,
1775843573.842144,heartbeat,0,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,979.4160,978,982,980.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,-0.4000,-0.4000,0.291500,0.401000,0.307500,0,0,0,flat,False,
1775843576.843354,heartbeat,0,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,979.1561,977,981,979.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,-0.1502,-0.1502,0.296296,0.401401,0.302302,0,0,0,flat,False,
1775843579.844225,heartbeat,0,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,978.3612,967,973,970.0000,6,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,0.6147,0.6147,0.311089,0.402408,0.286503,0,0,0,flat,False,
1775843582.056724,cpi_eval,46,,SELL,80,,,,no_actual_forecast,no actual/forecast; score=+3.00 headline=Inflation ticking lower but not fast enough to settle the debate.,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,978.2206,975,978,976.5000,3,2.000000,0.000000,0.000000,0.0000,,,3.0000,80,SELL,+0.000000,unstructured,,,0.7500,0.7500,0.314000,0.402000,0.284000,0,0,0,flat,False,"{'timestamp': 46, 'kind': 'unstructured', 'new_data': {'content': 'Inflation ticking lower but not fast enough to settle the debate.'}}"
1775843582.056876,macro_eval,46,,SELL,80,,,,no_real_c_baseline,score=+3.00 headline=Inflation ticking lower but not fast enough to settle the debate.,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,978.2206,975,978,976.5000,3,2.000000,0.000000,0.000000,0.0000,,,3.0000,80,SELL,+0.000000,unstructured,,,0.7500,0.7500,0.314000,0.402000,0.284000,0,0,0,flat,False,"{'timestamp': 46, 'kind': 'unstructured', 'new_data': {'content': 'Inflation ticking lower but not fast enough to settle the debate.'}}"
1775843582.057054,macro_blocked,46,,SELL,80,,,,no_real_c_baseline,score=+3.00 flat_cap=False headline=Inflation ticking lower but not fast enough to settle the debate.,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,978.2206,975,978,976.5000,3,2.000000,0.000000,0.000000,0.0000,,,3.0000,80,SELL,+0.000000,,,,0.7500,0.7500,0.314000,0.402000,0.284000,0,0,0,flat,False,"{'timestamp': 46, 'kind': 'unstructured', 'new_data': {'content': 'Inflation ticking lower but not fast enough to settle the debate.'}}"
1775843582.856058,heartbeat,46,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,977.8971,969,974,971.5000,5,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,1.0614,1.0614,0.321179,0.400100,0.278721,0,0,0,flat,False,
1775843585.857587,heartbeat,46,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,979.5197,978,979,978.5000,1,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,-0.4998,-0.4998,0.288856,0.402299,0.308846,0,0,0,flat,False,
1775843588.857598,heartbeat,46,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,979.1041,974,976,975.0000,2,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,-0.1001,-0.1001,0.295796,0.404404,0.299800,0,0,0,flat,False,
1775843591.857624,heartbeat,46,,,,,,,,,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,979.5062,980,984,982.0000,4,2.000000,0.000000,0.000000,0.0000,,,,,,,,,,-0.4868,-0.4868,0.288567,0.403395,0.308038,0,0,0,flat,False,
1775843592.843471,cpi_blocked,100,,SELL,200,,,,no_real_c_baseline,actual=0.003000 forecast=0.001900 surprise=+0.001100,0,,0.00,0.00,0.00,0.00,0.00,flat,,,,,,975.3037,980,984,982.0000,4,2.000000,0.000000,0.001100,4.4000,0.003000,0.001900,,,,,,,,3.5629,-0.8371,0.280860,0.404798,0.314343,0,0,0,flat,False,"{'timestamp': 100, 'kind': 'structured', 'new_data': {'new_signatures': 0, 'cumulative': 0, 'asset': '', 'structured_subtype': 'petition'}}"
