plot_symbol,earnings_asset,news_id,timestamp_iso,exchange_tick,old_eps,new_eps,model_fair_value_jump,market_mid_before_news,spread_before_news,market_mid_after_100ms,spread_after_100ms,market_mid_after_250ms,spread_after_250ms,market_mid_after_500ms,spread_after_500ms,market_mid_after_1s,spread_after_1s,market_mid_after_2s,spread_after_2s,market_mid_after_5s,spread_after_5s,max_excursion_from_pre_news_mid,final_settling_move_5s
A,A,market_research_2026-04-04_21-42-06_live_round-news-1,2026-04-05T02:42:15.950145+00:00,1500,,0.8324129727310562,,1188.0,6.0,1189.0,4.0,1191.5,3.0,1194.0,4.0,1199.0,6.0,1200.0,6.0,1191.5,5.0,12.0,3.5
A,A,market_research_2026-04-04_21-42-06_live_round-news-3,2026-04-05T02:42:46.113701+00:00,1650,0.8324129727310562,0.8838431684903902,0.5143019575933412,835.0,6.0,835.5,5.0,837.0,4.0,836.5,3.0,833.5,5.0,838.0,6.0,834.0,4.0,3.0,-1.0
A,A,market_research_2026-04-04_21-42-06_live_round-news-4,2026-04-05T02:43:55.969166+00:00,1950,0.8838431684903902,1.3925929733903109,5.087498048999205,885.5,5.0,887.0,2.0,887.5,3.0,890.0,4.0,892.0,6.0,892.0,6.0,899.0,6.0,13.5,13.5
A,A,market_research_2026-04-04_21-42-06_live_round-news-6,2026-04-05T02:44:51.558187+00:00,2100,1.3925929733903109,1.205620533476894,-1.8697243991341672,1386.0,6.0,1386.5,5.0,1387.0,6.0,1389.0,2.0,1392.5,1.0,1401.5,5.0,1399.0,6.0,15.5,13.0
A,A,market_research_2026-04-04_21-42-06_live_round-news-7,2026-04-05T02:47:30.206977+00:00,2400,1.205620533476894,1.0006381408560148,-2.0498239262087914,1200.0,6.0,1201.0,8.0,1201.0,8.0,1202.5,5.0,1204.5,3.0,1210.0,4.0,1223.0,6.0,23.0,23.0
A,A,market_research_2026-04-04_21-42-06_live_round-news-10,2026-04-05T02:49:21.004447+00:00,2550,1.0006381408560148,0.8801246016836736,-1.205135391723413,1117.0,6.0,1117.0,6.0,1117.0,6.0,1117.0,6.0,1119.0,-2.0,1122.5,-3.0,1132.0,6.0,15.0,15.0
C,C,market_research_2026-04-04_21-42-06_live_round-news-2,2026-04-05T02:42:15.951075+00:00,1500,,1.861457247224262,,990.0,6.0,988.5,9.0,990.0,12.0,975.5,5.0,977.5,5.0,977.0,6.0,975.0,6.0,-15.0,-15.0
C,C,market_research_2026-04-04_21-42-06_live_round-news-5,2026-04-05T02:43:55.978551+00:00,1950,1.861457247224262,1.8629055547812696,,977.0,6.0,975.5,3.0,974.0,6.0,975.0,4.0,974.5,3.0,979.0,6.0,976.0,6.0,-3.0,-1.0
C,C,market_research_2026-04-04_21-42-06_live_round-news-8,2026-04-05T02:47:30.223576+00:00,2400,1.8629055547812696,1.807028130150146,,977.0,6.0,977.0,6.0,976.5,7.0,962.0,-18.0,947.0,6.0,949.5,5.0,950.5,3.0,-30.0,-26.5
ETF,A,market_research_2026-04-04_21-42-06_live_round-news-1,2026-04-05T02:42:15.950145+00:00,1500,,0.8324129727310562,,3143.0,6.0,3136.0,-6.0,3143.0,12.0,3126.0,6.0,3116.5,5.0,3111.0,-4.0,3145.5,5.0,-32.0,2.5
