session_id,time_ms,side,px,qty,aggressive,mode,edge_px
A_research_2026-04-04_18-34-16_live_round,23.024916,SELL,1101,12,False,NORMAL_MM,48.0
A_research_2026-04-04_18-34-16_live_round,162.930458,BUY,1087,14,True,NORMAL_MM,35.0
A_research_2026-04-04_18-34-16_live_round,163.142583,BUY,1087,12,True,NORMAL_MM,30.0
A_research_2026-04-04_18-34-16_live_round,163.302291,BUY,1087,11,True,NORMAL_MM,27.5
A_research_2026-04-04_18-34-16_live_round,163.450458,BUY,1087,10,True,NORMAL_MM,25.0
A_research_2026-04-04_18-34-16_live_round,163.561125,BUY,1087,9,True,NORMAL_MM,22.5
A_research_2026-04-04_18-34-16_live_round,163.674375,BUY,1087,8,True,NORMAL_MM,20.0
A_research_2026-04-04_18-34-16_live_round,163.774625,BUY,1087,7,True,NORMAL_MM,17.5
A_research_2026-04-04_18-34-16_live_round,163.987,BUY,1087,7,True,NORMAL_MM,17.5
A_research_2026-04-04_18-34-16_live_round,164.484666,BUY,1091,12,False,NORMAL_MM,-30.0
A_research_2026-04-04_18-34-16_live_round,165.129166,BUY,1104,2,True,NORMAL_MM,-17.0
A_research_2026-04-04_18-34-16_live_round,447.154,SELL,1097,8,False,INVENTORY_UNWIND,4.0
A_research_2026-04-04_18-34-16_live_round,447.154,BUY,1102,6,True,NORMAL_MM,-33.0
A_research_2026-04-04_18-34-16_live_round,447.918625,BUY,1102,2,True,NORMAL_MM,-11.0
A_research_2026-04-04_18-34-16_live_round,826.0055,SELL,1098,8,False,INVENTORY_UNWIND,-12.0
A_research_2026-04-04_18-34-16_live_round,826.0055,BUY,1104,6,True,NORMAL_MM,-27.0
A_research_2026-04-04_18-34-16_live_round,827.53675,BUY,1104,2,True,NORMAL_MM,-9.0
A_research_2026-04-04_18-34-16_live_round,838.543958,SELL,1106,8,False,NORMAL_MM,40.0
A_research_2026-04-04_18-34-16_live_round,838.543958,BUY,1107,6,True,NORMAL_MM,-36.0
A_research_2026-04-04_18-34-16_live_round,838.88725,BUY,1107,2,True,NORMAL_MM,-12.0
A_research_2026-04-04_18-34-16_live_round,1229.681166,SELL,1103,8,False,INVENTORY_UNWIND,0.0
A_research_2026-04-04_18-34-16_live_round,1230.305416,SELL,1099,8,False,NORMAL_MM,-32.0
A_research_2026-04-04_18-34-16_live_round,1230.670708,SELL,1099,8,False,NORMAL_MM,-32.0
A_research_2026-04-04_18-34-16_live_round,1231.047166,SELL,1099,9,False,NORMAL_MM,-36.0
A_research_2026-04-04_18-34-16_live_round,1231.406375,SELL,1099,10,False,NORMAL_MM,-40.0
A_research_2026-04-04_18-34-16_live_round,1231.74825,SELL,1099,12,False,NORMAL_MM,-48.0
A_research_2026-04-04_18-34-16_live_round,1232.082958,SELL,1099,13,False,NORMAL_MM,-52.0
