current_bucket,next_bucket,transition_count,mean_next_earnings,transition_probability
0.7,0.9,3,0.9686509838854879,1.0
0.8,0.8,6,0.861158366422707,0.3
0.8,1.0,6,1.0342178709689767,0.3
0.8,0.9,5,0.9728905114382773,0.25
0.8,1.3,3,1.3925929733903109,0.15
0.9,1.0,16,1.025651417003219,0.5
0.9,0.9,6,0.9329099578285303,0.1875
0.9,0.8,5,0.8879705216451326,0.15625
0.9,1.1,5,1.150631041430325,0.15625
1.0,0.9,16,0.9615356093173082,0.37209302325581395
1.0,1.0,12,1.0603537789945612,0.27906976744186046
1.0,0.8,8,0.8559480537171946,0.18604651162790697
1.0,0.7,5,0.7935011605321248,0.11627906976744186
1.0,1.1,1,1.1026118811459702,0.023255813953488372
1.0,1.2,1,1.2980945711385277,0.023255813953488372
1.1,1.0,5,1.0570711192681026,0.5
1.1,0.9,4,0.971089408211002,0.4
1.1,0.8,1,0.8734297058959161,0.1
1.2,1.0,2,1.0076774638131027,1.0
1.3,1.2,1,1.205620533476894,1.0
