plot_symbol,earnings_asset,news_id,timestamp_iso,exchange_tick,old_eps,new_eps,model_fair_value_jump,market_mid_before_news,spread_before_news,market_mid_after_100ms,spread_after_100ms,market_mid_after_250ms,spread_after_250ms,market_mid_after_500ms,spread_after_500ms,market_mid_after_1s,spread_after_1s,market_mid_after_2s,spread_after_2s,market_mid_after_5s,spread_after_5s,max_excursion_from_pre_news_mid,final_settling_move_5s
A,A,market_research_2026-04-04_23-39-25_live_round-news-1,2026-04-05T04:39:54.048862+00:00,150,,1.1217733485480954,,1107.0,10.0,1108.0,8.0,1108.0,8.0,1109.0,10.0,1103.0,10.0,1099.0,10.0,1167.5,-19.0,60.5,60.5
A,A,market_research_2026-04-04_23-39-25_live_round-news-4,2026-04-05T04:41:47.409805+00:00,300,1.1217733485480954,0.934307663464085,-1.874656850840104,1010.0,10.0,1010.5,9.0,1010.5,9.0,1010.5,9.0,1011.0,10.0,1008.0,10.0,1009.5,7.0,-2.0,-0.5
A,A,market_research_2026-04-04_23-39-25_live_round-news-5,2026-04-05T04:50:46.746934+00:00,600,0.934307663464085,0.9359610018547124,0.01653338390627468,1034.0,10.0,1034.0,10.0,1034.0,10.0,1034.0,10.0,1034.0,10.0,1032.0,10.0,1034.0,10.0,-2.0,0.0
C,C,market_research_2026-04-04_23-39-25_live_round-news-2,2026-04-05T04:39:54.056868+00:00,150,,2.0468880114597456,,960.0,10.0,974.5,-19.0,974.5,-19.0,974.5,1.0,991.0,6.0,991.5,9.0,990.0,10.0,31.5,30.0
C,C,market_research_2026-04-04_23-39-25_live_round-news-6,2026-04-05T04:50:46.776291+00:00,600,2.0468880114597456,2.114878261923017,,974.0,10.0,974.0,10.0,974.0,10.0,974.0,10.0,974.0,10.0,991.0,-18.0,1007.5,13.0,33.5,33.5
ETF,A,market_research_2026-04-04_23-39-25_live_round-news-1,2026-04-05T04:39:54.048862+00:00,150,,1.1217733485480954,,3078.5,11.0,3088.0,-8.0,3088.0,2.0,3092.5,1.0,3097.0,10.0,3086.5,9.0,3161.5,1.0,83.0,83.0
ETF,C,market_research_2026-04-04_23-39-25_live_round-news-2,2026-04-05T04:39:54.056868+00:00,150,,2.0468880114597456,,3078.5,11.0,3088.0,-8.0,3088.5,3.0,3092.5,1.0,3097.0,10.0,3086.5,9.0,3161.5,1.0,83.0,83.0
ETF,A,market_research_2026-04-04_23-39-25_live_round-news-4,2026-04-05T04:41:47.409805+00:00,300,1.1217733485480954,0.934307663464085,-1.874656850840104,2994.0,10.0,2997.0,4.0,2997.0,4.0,3000.0,10.0,3000.0,10.0,3000.0,10.0,3024.0,-16.0,30.0,30.0
ETF,A,market_research_2026-04-04_23-39-25_live_round-news-5,2026-04-05T04:50:46.746934+00:00,600,0.934307663464085,0.9359610018547124,0.01653338390627468,3009.0,10.0,3009.0,10.0,3009.0,10.0,3026.0,-24.0,3012.0,16.0,3009.0,30.0,3041.0,6.0,32.0,32.0
ETF,C,market_research_2026-04-04_23-39-25_live_round-news-6,2026-04-05T04:50:46.776291+00:00,600,2.0468880114597456,2.114878261923017,,3009.0,10.0,3009.0,10.0,3009.0,10.0,3026.0,-24.0,3025.0,-10.0,3009.0,30.0,3041.0,6.0,32.0,32.0
